Time,TV,Radio,OOH,Social Media,Print,Others,sales
01/10/2008,125.45,0,125.45,36.5,20,35.126,22200
01/11/2008,53.7,0,53.7,14,20,15.036,11500
01/12/2008,81.65,0,81.65,31.6,20,22.862,16900
01/01/2009,98.8,0,98.8,3.5,20,27.664,11700
01/02/2009,92.45,0,92.45,21,20,25.886,15500
01/03/2009,144.85,0,144.85,42.3,20,40.558,25400
01/04/2009,22.24,94.64,67.6,41.7,20,0,17200
01/05/2009,22.24,155.68,44.48,4.3,20,0,11700
01/06/2009,29.64,207.48,59.28,36.3,20,0,23800
01/07/2009,28.02,196.14,56.04,10.1,20,0,14800
01/08/2009,18.79,131.53,37.58,17.2,20,0,14700
01/09/2009,23.82,166.74,47.64,34.3,20,0,20700
01/10/2009,13.79,96.53,27.58,46.4,20,0,19200
01/11/2009,2.5,17.5,5,11,20,0,7200
01/12/2009,9.04,63.28,18.08,0.3,20,0,8700
01/01/2010,1.31,9.17,2.62,0.4,20,0,5300
01/02/2010,25.54,178.78,51.08,26.9,20,0,19800
01/03/2010,22.58,158.06,45.16,8.2,20,0,13400
01/04/2010,24.17,169.19,48.34,38,20,0,21800
01/05/2010,17.57,122.99,35.14,15.4,20,0,14100
01/06/2010,20.96,146.72,41.92,20.6,20,0,15900
01/07/2010,7.82,54.74,15.64,46.8,20,0,14600
01/08/2010,7.51,52.57,15.02,35,20,0,12600
01/09/2010,13.92,97.44,27.84,14.3,20,0,12200
01/10/2010,7.64,53.48,15.28,0.8,20,0,9400
01/11/2010,12.57,87.99,25.14,36.9,20,3.5196,15900
01/12/2010,15.52,0,3.88,16,20,4.3456,6600
01/01/2011,113.04,0,28.26,26.8,20,31.6512,15500
01/02/2011,15.04,0,3.76,21.7,20,4.2112,7000
01/03/2011,179.2,0,44.8,2.4,20,50.176,11600
01/04/2011,98.48,0,24.62,34.6,20,27.5744,15200
01/05/2011,183.6,0,45.9,32.3,20,51.408,19700
01/06/2011,69.76,0,17.44,11.8,20,19.5328,10600
01/07/2011,7.8,0,0,38.9,20,2.184,6600
01/08/2011,64.16,0,16.04,0,20,17.9648,8800
01/09/2011,176.24,0,44.06,49,20,49.3472,24700
01/10/2011,47.68,0,11.92,12,20,13.3504,9700
01/11/2011,0.7,0,0,39.6,20,0.196,1600
01/12/2011,212.16,0,53.04,2.9,20,59.4048,12700
01/01/2012,8.4,0,0,27.2,20,2.352,5700
01/02/2012,175.84,0,43.96,33.5,20,49.2352,19600
01/03/2012,29.52,0,7.38,38.6,20,8.2656,10800
01/04/2012,38.64,0,9.66,47,20,10.8192,11600
01/05/2012,20.48,0,5.12,39,20,5.7344,9500
01/06/2012,218.96,0,54.74,28.9,20,61.3088,20800
01/07/2012,34.4,0,8.6,25.9,20,9.632,9600
01/08/2012,147.92,0,36.98,43.9,20,41.4176,20700
01/09/2012,58.72,0,14.68,17,20,16.4416,10900
01/10/2012,154.96,0,38.74,35.4,20,43.3888,19200
01/11/2012,176.4,0,44.1,33.2,20,49.392,20100
01/12/2012,83.68,0,20.92,5.7,20,23.4304,10400
01/01/2013,76.96,0,19.24,14.8,20,21.5488,11400
01/02/2013,112.24,0,28.06,1.9,20,31.4272,10300
01/03/2013,192.08,0,48.02,7.3,20,53.7824,13200
01/04/2013,194.56,0,48.64,49,20,54.4768,25400
01/05/2013,30.4,0,7.6,40.3,20,8.512,10900
01/06/2013,35.76,0,8.94,25.8,20,10.0128,10100
01/07/2013,224.56,0,56.14,13.9,20,62.8768,16100
01/08/2013,96.8,0,24.2,8.4,20,27.104,11600
01/09/2013,158.08,0,39.52,23.3,20,44.2624,16600
01/10/2013,137.04,0,34.26,39.7,20,38.3712,19000
01/11/2013,150.24,0,37.56,21.1,20,42.0672,15600
01/12/2013,3.28,0,0.82,11.6,20,0.9184,3200
01/01/2014,75.12,0,18.78,43.5,20,21.0336,15300
01/02/2014,119.84,0,29.96,1.3,20,33.5552,10100
01/03/2014,9.36,0,2.34,36.9,20,2.6208,7300
01/04/2014,105.36,0,26.34,18.4,20,29.5008,12900
01/05/2014,138,0,34.5,18.1,20,38.64,14400
01/06/2014,68.56,0,17.14,35.8,20,19.1968,13300
01/07/2014,150.72,0,37.68,18.1,20,42.2016,14900
01/08/2014,130.8,0,32.7,36.8,20,36.624,18000
01/09/2014,93.76,0,23.44,14.7,0,26.2528,11900
01/10/2014,117.25,0,117.25,3.4,0,32.83,11900
01/11/2014,8.95,0,8.95,37.6,0,2.506,8000
01/12/2014,103.4,0,103.4,5.2,0,28.952,12200
01/01/2015,107.7,0,107.7,23.6,0,30.156,17100
01/02/2015,71.075,71.075,142.15,10.6,0,19.901,15000
01/03/2015,12.5,12.5,25,11.6,0,3.5,8400
01/04/2015,41.125,41.125,82.25,20.9,0,11.515,14500
01/05/2015,4.9,4.9,9.8,20.1,0,1.372,7600
01/06/2015,42.1,42.1,84.2,7.1,0,11.788,11700
01/07/2015,55.6,55.6,111.2,3.4,0,15.568,11500
01/08/2015,69.225,69.225,138.45,48.9,0,19.383,27000
01/09/2015,62.1,62.1,124.2,30.2,0,17.388,20200
01/10/2015,42.55,42.55,85.1,7.8,0,11.914,11700
01/11/2015,69.175,69.175,138.35,2.3,0,19.369,11800
01/12/2015,41.4,41.4,82.8,10,0,11.592,12600
01/01/2016,39.15,39.15,78.3,2.6,20,10.962,10500
01/02/2016,54.625,54.625,109.25,5.4,20,15.295,12200
01/03/2016,14.05,14.05,28.1,5.7,20,3.934,8700
01/04/2016,71.9,71.9,143.8,43,20,20.132,26200
01/05/2016,63.45,63.45,126.9,21.3,20,17.766,17600
01/06/2016,51.25,51.25,102.5,45.1,20,14.35,22600
01/07/2016,34.875,34.875,69.75,2.1,20,9.765,10300
01/08/2016,47.775,47.775,95.55,28.7,20,13.377,17300
01/09/2016,71.5,71.5,143,13.9,20,20.02,15900
01/10/2016,4.675,4.675,9.35,12.1,20,1.309,6700
01/11/2016,9.875,9.875,19.75,41.1,20,2.765,10800
01/12/2016,18.875,18.875,37.75,10.8,20,5.285,9900
01/01/2017,4.3,4.3,8.6,4.1,20,1.204,5900
01/02/2017,41.7,41.7,83.4,42,20,11.676,19600
01/03/2017,37.425,37.425,74.85,35.6,20,10.479,17300
01/04/2017,9.55,9.55,19.1,3.7,20,2.674,7600
01/05/2017,23.55,23.55,47.1,4.9,20,6.594,9700
01/06/2017,44.25,44.25,88.5,9.3,20,12.39,12800
01/07/2017,70.9,70.9,141.8,42,20,19.852,25500
01/08/2017,58.025,58.025,116.05,8.6,20,16.247,13400
